id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Vaios;sues (Schere);16164.0;-5220.0;-520.0;-4000.0;-79.0;-159.0;442177
1;Vaios;sues (Schere);15548.0;-5472.0;-888.0;-4000.0;-431.0;-234.0;442281
2;Vaios;sues (Schere);15572.0;-5084.0;-576.0;-4016.0;-316.0;112.0;442384
3;Vaios;sues (Schere);15712.0;-5284.0;-232.0;-4000.0;-206.0;200.0;442488
4;Vaios;sues (Schere);16756.0;-5124.0;-24.0;-4016.0;-97.0;-43.0;442590
5;Vaios;sues (Schere);15828.0;-5324.0;-444.0;-4000.0;-485.0;144.0;442693
6;Vaios;sues (Schere);11312.0;-5720.0;1404.0;-4000.0;-965.0;813.0;442797
7;Vaios;sues (Schere);28264.0;-6084.0;4532.0;-3984.0;-4382.0;2719.0;442900
8;Vaios;sues (Schere);32767.0;-2456.0;-3720.0;-4032.0;808.0;-506.0;443003
9;Vaios;sues (Schere);13520.0;-2244.0;1192.0;-4000.0;1520.0;-844.0;443106
10;Vaios;sues (Schere);-1008.0;-1932.0;-2792.0;-4016.0;3272.0;-762.0;443209
11;Vaios;sues (Schere);-4240.0;-6372.0;-3552.0;-4000.0;3721.0;1286.0;443313
12;Vaios;sues (Schere);-2768.0;-7348.0;8400.0;-4016.0;933.0;-975.0;443415
13;Vaios;sues (Schere);-1408.0;-7288.0;19664.0;-4000.0;-10744.0;-256.0;443519
14;Vaios;sues (Schere);16304.0;-592.0;9448.0;-4016.0;-20824.0;6712.0;443622
15;Vaios;sues (Schere);32767.0;-1916.0;-13096.0;-3984.0;-14865.0;2789.0;443726
16;Vaios;sues (Schere);23376.0;-4296.0;-18928.0;-4016.0;-4043.0;538.0;443829
17;Vaios;sues (Schere);16548.0;48.0;-22136.0;-4000.0;958.0;-5348.0;443931
18;Vaios;sues (Schere);11088.0;5616.0;-27184.0;-4016.0;17172.0;-2362.0;444035
19;Vaios;sues (Schere);16924.0;5352.0;-4572.0;-3984.0;28335.0;2219.0;444138
20;Vaios;sues (Schere);14640.0;-580.0;17904.0;-4032.0;22812.0;1227.0;444242
21;Vaios;sues (Schere);11476.0;-5620.0;17060.0;-3968.0;6769.0;-376.0;444344
22;Vaios;sues (Schere);14240.0;-6844.0;5604.0;-3984.0;-1565.0;299.0;444448
23;Vaios;sues (Schere);18108.0;-5612.0;168.0;-4000.0;-3542.0;-496.0;444551
24;Vaios;sues (Schere);17728.0;-6536.0;824.0;-4000.0;-1804.0;-1222.0;444654
25;Vaios;sues (Schere);15540.0;-6256.0;-1384.0;-4016.0;-2.0;-1019.0;444757
26;Vaios;sues (Schere);12564.0;-6312.0;-780.0;-4032.0;1082.0;-907.0;444860
27;Vaios;sues (Schere);14252.0;-6332.0;-1152.0;-4048.0;-21.0;-465.0;444964
28;Vaios;sues (Schere);16024.0;-6192.0;-984.0;-4000.0;395.0;137.0;445067
29;Vaios;sues (Schere);15472.0;-6292.0;-524.0;-3984.0;-161.0;399.0;445169
30;Vaios;sues (Schere);16052.0;-6396.0;-2356.0;-4032.0;-283.0;-95.0;445273
31;Vaios;sues (Schere);15880.0;-6304.0;200.0;-4016.0;49.0;-200.0;445376
