id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Semih;Annaniiiii (Stein);-9792.0;-13424.0;1400.0;-4080.0;-195.0;586.0;46097
1;Semih;Annaniiiii (Stein);-9636.0;-13132.0;2232.0;-4048.0;-136.0;166.0;46200
2;Semih;Annaniiiii (Stein);-9432.0;-13324.0;1564.0;-4048.0;-451.0;295.0;46302
3;Semih;Annaniiiii (Stein);-9828.0;-13488.0;1252.0;-4064.0;-327.0;269.0;46406
4;Semih;Annaniiiii (Stein);-9080.0;-13328.0;1000.0;-4064.0;-390.0;366.0;46509
5;Semih;Annaniiiii (Stein);-9040.0;-13352.0;1212.0;-4064.0;-226.0;309.0;46612
6;Semih;Annaniiiii (Stein);-10188.0;-13440.0;1628.0;-4096.0;-491.0;202.0;46715
7;Semih;Annaniiiii (Stein);-9812.0;-14020.0;1380.0;-4048.0;-487.0;677.0;46819
8;Semih;Annaniiiii (Stein);-11032.0;-16136.0;3784.0;-4080.0;-2593.0;1961.0;46921
9;Semih;Annaniiiii (Stein);-12000.0;-12356.0;968.0;-4064.0;-6758.0;4480.0;47024
10;Semih;Annaniiiii (Stein);804.0;-9224.0;-11216.0;-4048.0;-1186.0;4197.0;47128
11;Semih;Annaniiiii (Stein);5904.0;6028.0;-5048.0;-4080.0;9787.0;-18681.0;47231
12;Semih;Annaniiiii (Stein);-32104.0;-5388.0;-11768.0;-4064.0;12827.0;-12045.0;47334
13;Semih;Annaniiiii (Stein);-30572.0;-6104.0;18968.0;-4080.0;20811.0;-6675.0;47437
14;Semih;Annaniiiii (Stein);-20684.0;-1588.0;26744.0;-4032.0;1569.0;6559.0;47540
15;Semih;Annaniiiii (Stein);1208.0;3508.0;21900.0;-4048.0;-15605.0;17308.0;47644
16;Semih;Annaniiiii (Stein);14484.0;-1200.0;-660.0;-4032.0;-18830.0;14357.0;47746
17;Semih;Annaniiiii (Stein);9872.0;-412.0;-15276.0;-4048.0;-15411.0;5263.0;47850
18;Semih;Annaniiiii (Stein);-22808.0;7900.0;-3032.0;-4048.0;-17621.0;-5856.0;47953
19;Semih;Annaniiiii (Stein);-32768.0;1936.0;-14692.0;-4032.0;-23111.0;-6623.0;48057
20;Semih;Annaniiiii (Stein);-18500.0;-1648.0;-17272.0;-4080.0;-31007.0;-8074.0;48159
21;Semih;Annaniiiii (Stein);-20844.0;-2912.0;-17232.0;-4096.0;11665.0;368.0;48262
22;Semih;Annaniiiii (Stein);13248.0;-12564.0;-13572.0;-4032.0;15636.0;10061.0;48366
23;Semih;Annaniiiii (Stein);18148.0;-8256.0;-11952.0;-4048.0;27148.0;4363.0;48469
24;Semih;Annaniiiii (Stein);15396.0;32767.0;-8336.0;-4064.0;18291.0;6712.0;48573
25;Semih;Annaniiiii (Stein);-32768.0;184.0;-27292.0;-4080.0;21299.0;2804.0;48675
26;Semih;Annaniiiii (Stein);10188.0;8184.0;-7132.0;-4032.0;-29665.0;267.0;48778
27;Semih;Annaniiiii (Stein);-21532.0;-2216.0;-3652.0;-4096.0;4558.0;1223.0;48882
28;Semih;Annaniiiii (Stein);-17328.0;-352.0;2716.0;-4048.0;-3071.0;-574.0;48985
29;Semih;Annaniiiii (Stein);-17452.0;-2080.0;500.0;-4064.0;-527.0;198.0;49088
