id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Esranur;sues (Schere);-17868.0;-1456.0;-3160.0;-3664.0;1523.0;-1012.0;54765
1;Esranur;sues (Schere);-14684.0;-2480.0;-4276.0;-3680.0;-770.0;312.0;54868
2;Esranur;sues (Schere);-17044.0;-1984.0;-1176.0;-3696.0;627.0;-983.0;54972
3;Esranur;sues (Schere);-16056.0;-2064.0;-2800.0;-3648.0;-69.0;1673.0;55074
4;Esranur;sues (Schere);-15448.0;-1992.0;-2168.0;-3696.0;-144.0;986.0;55178
5;Esranur;sues (Schere);-32768.0;-11936.0;1216.0;-3664.0;780.0;178.0;55281
6;Esranur;sues (Schere);-32768.0;-9448.0;-4840.0;-3680.0;-9384.0;3489.0;55383
7;Esranur;sues (Schere);-6744.0;-1204.0;-3320.0;-3664.0;-6116.0;451.0;55487
8;Esranur;sues (Schere);4832.0;3680.0;-3592.0;-3696.0;-4953.0;3662.0;55590
9;Esranur;sues (Schere);-1964.0;2180.0;-13688.0;-3648.0;-2107.0;2050.0;55694
10;Esranur;sues (Schere);-6300.0;12.0;-25240.0;-3664.0;9929.0;6716.0;55796
11;Esranur;sues (Schere);-14468.0;6228.0;-16300.0;-3664.0;27803.0;11465.0;55900
12;Esranur;sues (Schere);-32644.0;2888.0;19772.0;-3664.0;19686.0;12817.0;56003
13;Esranur;sues (Schere);-32768.0;-3712.0;24600.0;-3664.0;-9558.0;-1393.0;56106
14;Esranur;sues (Schere);-21852.0;5060.0;10208.0;-3664.0;-27730.0;-7687.0;56209
15;Esranur;sues (Schere);-14980.0;8828.0;-8212.0;-3632.0;-32768.0;-7796.0;56312
16;Esranur;sues (Schere);-12340.0;5096.0;-20804.0;-3680.0;-23716.0;-5475.0;56416
17;Esranur;sues (Schere);-18128.0;2708.0;-17748.0;-3680.0;-4293.0;-524.0;56519
18;Esranur;sues (Schere);-13344.0;-1048.0;-9600.0;-3680.0;-18.0;1018.0;56621
19;Esranur;sues (Schere);-15600.0;-3092.0;-2940.0;-3664.0;738.0;580.0;56725
20;Esranur;sues (Schere);-17084.0;-3036.0;-4744.0;-3664.0;1351.0;76.0;56828
21;Esranur;sues (Schere);-16444.0;-2732.0;-4660.0;-3680.0;502.0;-206.0;56932
22;Esranur;sues (Schere);-14164.0;-3876.0;-5952.0;-3664.0;-231.0;270.0;57034
23;Esranur;sues (Schere);-14668.0;-3224.0;-5280.0;-3632.0;-337.0;261.0;57138
24;Esranur;sues (Schere);-15816.0;-2744.0;-4024.0;-3648.0;-653.0;273.0;57241
25;Esranur;sues (Schere);-16952.0;-3144.0;-6100.0;-3664.0;-682.0;-138.0;57343
