id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;;;-1236.0;-1376.0;13452.0;-3840.0;-569.0;32.0;0
1;;;-792.0;-1276.0;14024.0;-3840.0;-372.0;36.0;103
2;;;-1728.0;-1332.0;14304.0;-3856.0;-260.0;-4.0;207
3;;;-940.0;-1992.0;17704.0;-3824.0;348.0;-684.0;309
4;;;-1384.0;-2392.0;20168.0;-3824.0;-4661.0;-1772.0;413
5;;;-1336.0;-2824.0;15620.0;-3840.0;-8704.0;-1445.0;516
6;;;-672.0;-4188.0;16372.0;-3840.0;-10467.0;-1195.0;618
7;;;-1880.0;-6264.0;13792.0;-3856.0;-12696.0;-449.0;722
8;;;-356.0;-7112.0;12668.0;-3840.0;-13381.0;-995.0;825
9;;;788.0;-9084.0;9304.0;-3856.0;-14725.0;-733.0;928
10;;;-1668.0;-10060.0;1148.0;-3840.0;-12012.0;-1173.0;1031
11;;;-2168.0;-12360.0;-2512.0;-3856.0;-3700.0;-1631.0;1135
12;;;-2096.0;-14644.0;1548.0;-3856.0;1527.0;-1188.0;1237
13;;;-1724.0;-15340.0;5980.0;-3840.0;1485.0;34.0;1340
14;;;-776.0;-13708.0;4396.0;-3872.0;429.0;979.0;1444
15;;;-4696.0;-11372.0;744.0;-3856.0;6375.0;1170.0;1546
16;;;-4536.0;-10124.0;3976.0;-3840.0;11052.0;3367.0;1650
17;;;-3756.0;-8856.0;9704.0;-3840.0;14062.0;3752.0;1753
18;;;-3468.0;-7080.0;16596.0;-3840.0;13765.0;4194.0;1855
19;;;-2560.0;-3360.0;18124.0;-3856.0;12844.0;3878.0;1959
20;;;3080.0;-984.0;20752.0;-3856.0;8595.0;3418.0;2062
21;;;7996.0;-632.0;20500.0;-3824.0;3337.0;1106.0;2165
22;;;3424.0;-1864.0;16004.0;-3824.0;-1867.0;529.0;2268
23;;;1200.0;-2092.0;12868.0;-3824.0;-469.0;-413.0;2372
24;;;2556.0;-1340.0;14324.0;-3824.0;623.0;-844.0;2474
25;;;7496.0;908.0;15940.0;-3840.0;-504.0;-1208.0;2577
26;;;5056.0;2048.0;15924.0;-3856.0;-1777.0;-2571.0;2681
27;;;-3028.0;1416.0;15020.0;-3840.0;-1255.0;-5087.0;2783
28;;;-5448.0;168.0;14160.0;-3840.0;-75.0;-4766.0;2887
29;;;-5212.0;-2756.0;14352.0;-3872.0;-1453.0;-2795.0;2989
30;;;-4608.0;-3348.0;13748.0;-3824.0;-1422.0;-343.0;3092
31;;;44.0;-2952.0;14156.0;-3856.0;-128.0;-103.0;3196
32;;;884.0;-2764.0;13392.0;-3856.0;-687.0;484.0;3298
33;;;1072.0;-2880.0;13660.0;-3856.0;222.0;522.0;3402
34;;;-32.0;-3060.0;14420.0;-3856.0;162.0;102.0;3505
35;;;640.0;-2936.0;13728.0;-3872.0;160.0;32.0;3607
36;;;312.0;-3016.0;14432.0;-3840.0;95.0;117.0;3711
37;;;20.0;-3036.0;14040.0;-3840.0;-25.0;71.0;3813
38;;;880.0;-2720.0;13900.0;-3856.0;-543.0;250.0;3917
39;;;1000.0;-2700.0;13828.0;-3824.0;-117.0;-5.0;4020
40;;;888.0;-2608.0;14216.0;-3856.0;-34.0;-93.0;4123
41;;;908.0;-2552.0;14256.0;-3840.0;-249.0;-76.0;4226
